,Date,Close,High,Low,Open
10194,1980-12-12,28.75,28.87,28.75,28.75
10193,1980-12-15,27.25,27.38,27.25,27.38
10192,1980-12-16,25.25,25.37,25.25,25.37
10191,1980-12-17,25.87,26.0,25.87,25.87
10190,1980-12-18,26.63,26.75,26.63,26.63
10189,1980-12-19,28.25,28.38,28.25,28.25
10188,1980-12-22,29.63,29.75,29.63,29.63
10187,1980-12-23,30.88,31.0,30.88,30.88
10186,1980-12-24,32.5,32.63,32.5,32.5
10185,1980-12-26,35.5,35.62,35.5,35.5
10184,1980-12-29,36.0,36.13,36.0,36.0
10183,1980-12-30,35.12,35.25,35.12,35.25
10182,1980-12-31,34.13,34.25,34.13,34.25
10181,1981-01-02,34.5,34.75,34.5,34.5
10180,1981-01-05,33.75,33.87,33.75,33.87
10179,1981-01-06,32.25,32.37,32.25,32.37
10178,1981-01-07,30.88,31.0,30.88,31.0
10177,1981-01-08,30.25,30.37,30.25,30.37
10176,1981-01-09,31.88,32.0,31.88,31.88
10175,1981-01-12,31.62,31.88,31.62,31.88
10174,1981-01-13,30.5,30.63,30.5,30.63
10173,1981-01-14,30.63,30.75,30.63,30.63
10172,1981-01-15,31.25,31.5,31.25,31.25
10171,1981-01-16,31.0,31.12,31.0,31.12
10170,1981-01-19,32.87,33.0,32.87,32.87
10169,1981-01-20,31.88,32.0,31.88,32.0
10168,1981-01-21,32.5,32.75,32.5,32.5
10167,1981-01-22,32.87,33.13,32.87,32.87
10166,1981-01-23,32.75,33.0,32.75,32.87
10165,1981-01-26,32.25,32.37,32.25,32.37
10164,1981-01-27,32.0,32.25,32.0,32.25
10163,1981-01-28,31.0,31.12,31.0,31.12
10162,1981-01-29,29.87,30.0,29.87,30.0
10161,1981-01-30,28.25,28.5,28.25,28.5
10160,1981-02-02,26.63,26.75,26.63,26.75
10159,1981-02-03,27.62,27.75,27.62,27.62
10158,1981-02-04,28.62,28.75,28.62,28.62
10157,1981-02-05,28.62,28.87,28.62,28.62
10156,1981-02-06,28.75,28.87,28.75,28.75
10155,1981-02-09,27.25,27.5,27.25,27.5
10154,1981-02-10,27.25,27.38,27.25,27.25
10153,1981-02-11,26.37,26.5,26.37,26.5
10152,1981-02-12,26.13,26.25,26.13,26.25
10151,1981-02-13,25.5,25.75,25.5,25.75
10150,1981-02-17,26.13,26.25,26.13,26.13
10149,1981-02-18,27.25,27.5,27.25,27.25
10148,1981-02-19,25.63,25.75,25.63,25.75
10147,1981-02-20,24.25,24.38,24.25,24.38
10146,1981-02-23,24.62,24.75,24.62,24.62
10145,1981-02-24,23.75,24.0,23.75,24.0
10144,1981-02-25,25.25,25.37,25.25,25.25
10143,1981-02-26,25.63,25.75,25.63,25.63
10142,1981-02-27,26.5,26.75,26.5,26.5
10141,1981-03-02,26.63,26.75,26.63,26.63
10140,1981-03-03,26.25,26.37,26.25,26.37
10139,1981-03-04,26.0,26.13,26.0,26.13
10138,1981-03-05,25.87,26.0,25.87,26.0
10137,1981-03-06,25.63,25.87,25.63,25.87
10136,1981-03-09,23.63,23.75,23.63,23.75
10135,1981-03-10,22.5,22.63,22.5,22.63
10134,1981-03-11,21.62,21.87,21.62,21.87
10133,1981-03-12,22.5,22.63,22.5,22.5
10132,1981-03-13,22.25,22.37,22.25,22.37
10131,1981-03-16,23.13,23.37,23.13,23.13
10130,1981-03-17,24.25,24.5,24.25,24.25
10129,1981-03-18,25.75,26.0,25.75,25.75
10128,1981-03-19,25.5,25.63,25.5,25.63
10127,1981-03-20,25.75,26.0,25.75,25.75
